DiaChi,GiaBan,DuAn,DienTich,TinhTrangBDS,Gia/m2,PhongNgu,PhongVeSinh,SoTang,TinhTrangGiayTo,TinhTrangNoiThat,HuongBanCong,HuongCua,DacDiem
"Số 207, Nguyễn Xí, Phường 26, Quận Bình Thạnh, Tp Hồ Chí Minh","1,39 tỷ",Richmond City,65 m²,Đã bàn giao,"21,38 triệu/m²",2 phòng,1 phòng,15,,,,Đông,
"Số 4, Đào Trí, Phường Phú Thuận, Quận 7, Tp Hồ Chí Minh","2,3 tỷ",Saigon Riverside Complex Q7,73 m²,Đã bàn giao,"31,51 triệu/m²",2 phòng,2 phòng,,,,,,
"Xa Lộ Hà Nội, Phường Hiệp Phú (Quận 9 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","1,8 tỷ",Saigon Gateway,57 m²,Đã bàn giao,"31,58 triệu/m²",2 phòng,1 phòng,,,,,,
"Hồng Hà, Phường 2, Quận Tân Bình, Tp Hồ Chí Minh","4,65 tỷ",Botanica Premier,69 m²,Đã bàn giao,"67,39 triệu/m²",2 phòng,2 phòng,,,,,,
"Số 4, Đào Trí, Phường Phú Thuận, Quận 7, Tp Hồ Chí Minh","1,85 tỷ",Saigon Riverside Complex Q7,53 m²,Đã bàn giao,"34,91 triệu/m²",1 phòng,1 phòng,,,,,,
"Đường Nguyễn Phúc Nguyên, Phường 10, Quận 3, Tp Hồ Chí Minh","3,85 tỷ",,81.9 m²,Đã bàn giao,"47,01 triệu/m²",2 phòng,2 phòng,10,,,Đông Bắc,Tây Nam,
"Thạnh Xuân 13, Phường Thạnh Xuân, Quận 12, Tp Hồ Chí Minh","2,39 tỷ",PiCity High Park,58 m²,Đã bàn giao,"41,21 triệu/m²",2 phòng,,8,Đang chờ sổ,,,,
"Hẻm C6-C7-C8 Đường Lê Văn Việt, Phường Tăng Nhơn Phú A (Quận 9 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","1,67 tỷ",,58 m²,Đã bàn giao,"28,79 triệu/m²",1 phòng,1 phòng,7,Đã có sổ,,,,
"1002, Tạ Quang Bửu, Phường 6, Quận 8, Tp Hồ Chí Minh","3,05 tỷ",,68.68 m²,Đã bàn giao,"44,41 triệu/m²",2 phòng,2 phòng,20,,,Tây Bắc,Đông Nam,
"số 88, N1, Phường Sơn Kỳ, Quận Tân Phú, Tp Hồ Chí Minh","1,55 tỷ",Celadon City,72 m²,Đã bàn giao,"21,53 triệu/m²",2 phòng,2 phòng,,,,,,
"Phạm Văn Đồng, Phường Linh Tây (Quận Thủ Đức cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","2,4 tỷ",Flora Novia,60 m²,Đã bàn giao,40 triệu/m²,2 phòng,2 phòng,,,,,,
"Nguyễn Xiển, Phường Long Thạnh Mỹ (Quận 9 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","1,67 tỷ",Vinhomes Grand Park,69 m²,Chưa bàn giao,"24,2 triệu/m²",2 phòng,2 phòng,19,,,,Đông Nam,
"Hẻm 219 Đường Số 5, Phường Bình Hưng Hòa, Quận Bình Tân, Tp Hồ Chí Minh","1,68 tỷ",,63 m²,Đã bàn giao,"26,67 triệu/m²",2 phòng,1 phòng,,Đã có sổ,Nội thất đầy đủ,,,
"Đường Hồ Văn Long, Phường Tân Tạo, Quận Bình Tân, Tp Hồ Chí Minh",650 triệu,,34 m²,Đã bàn giao,"19,12 triệu/m²",1 phòng,1 phòng,8,,,,,
"Đường Phú Thuận, Phường Phú Thuận, Quận 7, Tp Hồ Chí Minh","2,4 tỷ",,93 m²,Đã bàn giao,"25,81 triệu/m²",2 phòng,2 phòng,10,,,Đông,Tây,
"Lô đất S1-2, Tân Phú, Phường Tân Phú, Quận 7, Tp Hồ Chí Minh","6,35 tỷ",Cảnh Viên 2,118 m²,Đã bàn giao,"53,81 triệu/m²",3 phòng,2 phòng,2,,,,Đông Bắc,
